# 短对话扫描v2 — 全阶段  (diff=关)
# D1二字崩 D2短对白 D3问句句号 D4引号内多句 D5短句接龙 D6零间隔对话 N1短句三连 N2电报超短句 N3电报连发
# 汇总: {'D1': 121, 'D2': 280, 'D3': 66, 'D4': 132, 'D5': 150, 'D6': 297, 'N1': 195, 'N2': 150, 'N3': 75}  |  有发现章节 82

## Ch120: 山谷的访客——亚莉莎与狼人法师 [2：挑逗和接受]
  [N1/中] 章节终止条件L37 短句三连(最长20字): 3.导力灯在工坊角落投下暖黄色的光圈。行军床的旧床单上残留着白天阳光晒过的味道。两个人的呼吸在窄小的空间里交错

## Ch308: 工坊的午后——乔治的第一次（下） [4：跨线]
  [D2/中] 情境L20 短对白(3字): 等等。
  [D2/中] 情境L20 短对白(6字): 要跟黎恩说。
  [N2/严] 情境L20 电报超短句(3字): 脸红了
  [D3/中] 情境L21 疑似问句用句号: 到哪一步了。
  [D2/中] 情境L21 短对白(6字): 到哪一步了。
  [D2/中] 情境L21 短对白(4字): 知道了。
  [D2/中] 情境L21 短对白(6字): 全部记住了。
  [D5/中] 情境L21 3连短对白: 到哪一步了。｜他不太会。都是我在——｜知道了。
  [N1/严] 情境L21 短句三连(最长10字): - 导力器拨通了。黎恩的脸出现在屏幕上。菲娜跪坐在床沿
  [N1/严] 情境L21 短句三连(最长7字): 她说不下去了。黎恩的声音很稳。然后他看着乔治
  [N1/严] 情境L21 短句三连(最长10字): 然后他的语气认真起来。乔治点头。很用力
  [N2/严] 情境L21 电报超短句(3字): 很用力
  [N3/中] 情境L21 电报连发(≤10字×3): - 导力器拨通了。黎恩的脸出现在屏幕上。菲娜跪坐在床沿
  [N3/中] 情境L21 电报连发(≤10字×3): 她说不下去了。黎恩的声音很稳。然后他看着乔治
  [N3/中] 情境L21 电报连发(≤10字×3): 然后他的语气认真起来。乔治点头。很用力
  [D6/中] 情境L22 零间隔对话: 我——对不起——|别道歉，继续。
  [D5/中] 情境L22 3连短对白: 我——对不起——｜别道歉，继续。｜对，就是这里，慢慢来。
